id,type,english,chinese,difficulty,topic,keywords
1,sentence,Open your book.,打開你的書。,medium,School-常用3000單,book
2,sentence,Close your book.,闔上你的書。,medium,School-常用3000單,book
3,sentence,Read this chapter.,閱讀這個章節。,medium,School-常用3000單,chapter
4,sentence,Write the answer.,寫下答案。,medium,School-常用3000單,answer
5,sentence,Answer the question.,回答這個問題。,medium,School-常用3000單,answer;question
6,sentence,Ask a question.,問一個問題。,medium,School-常用3000單,question
7,sentence,Use your dictionary.,使用你的字典。,medium,School-常用3000單,dictionary
8,sentence,Bring your notebook.,帶你的筆記本。,medium,School-常用3000單,notebook
9,sentence,Take a pencil.,拿一支鉛筆。,medium,School-常用3000單,pencil
10,sentence,Pass the paper.,傳這張紙。,medium,School-常用3000單,paper
11,sentence,Find the classroom.,找到教室。,medium,School-常用3000單,classroom
12,sentence,Enter the classroom.,進入教室。,medium,School-常用3000單,classroom
13,sentence,Leave the classroom.,離開教室。,medium,School-常用3000單,classroom
14,sentence,Clean the desk.,清理書桌。,medium,School-常用3000單,desk
15,sentence,Move the chair.,移動椅子。,medium,School-常用3000單,chair
16,sentence,Hold the chalk.,拿著粉筆。,medium,School-常用3000單,chalk
17,sentence,Use the calculator.,使用計算機。,medium,School-常用3000單,calculator
18,sentence,Check your calculation.,檢查你的計算。,medium,School-常用3000單,calculation
19,sentence,Start the quiz.,開始小考。,medium,School-常用3000單,quiz
20,sentence,Finish the test.,完成測驗。,medium,School-常用3000單,test
21,sentence,Prepare for examination.,準備考試。,medium,School-常用3000單,examination
22,sentence,Review the course.,複習課程。,medium,School-常用3000單,course
23,sentence,Follow the instruction.,遵守指示。,medium,School-常用3000單,instruction
24,sentence,Listen to the teacher.,聽老師說。,medium,School-常用3000單,teacher
25,sentence,Help the student.,幫助學生。,medium,School-常用3000單,student
26,sentence,Join the group.,加入小組。,medium,School-常用3000單,group
27,sentence,Discuss the article.,討論文章。,medium,School-常用3000單,discuss;article
28,sentence,Study the syllabus.,研讀課程大綱。,medium,School-常用3000單,syllabus
29,sentence,Read the curriculum.,閱讀課程。,medium,School-常用3000單,curriculum
30,sentence,Meet the instructor.,見指導老師。,medium,School-常用3000單,instructor
31,sentence,Visit the campus.,參觀校園。,medium,School-常用3000單,campus
32,sentence,Go to the library.,去圖書館。,medium,School-常用3000單,library
33,sentence,Borrow a dictionary.,借一本字典。,medium,School-常用3000單,dictionary
34,sentence,Return the book.,歸還書本。,medium,School-常用3000單,book
35,sentence,Write the assignment.,寫作業。,medium,School-常用3000單,assignment
36,sentence,Submit the report.,繳交報告。,medium,School-常用3000單,report
37,sentence,Begin the lesson.,開始課程。,medium,School-常用3000單,lesson
38,sentence,End the lesson.,結束課程。,medium,School-常用3000單,lesson
39,sentence,Review after class.,課後複習。,medium,School-常用3000單,class
40,sentence,Speak in English.,用英文說話。,medium,School-常用3000單,English
41,sentence,Practice the dialogue.,練習對話。,medium,School-常用3000單,dialogue
42,sentence,Repeat the sentence.,重複句子。,medium,School-常用3000單,sentence
43,sentence,Copy the paragraph.,抄寫段落。,medium,School-常用3000單,paragraph
44,sentence,Mark the answer.,標記答案。,medium,School-常用3000單,answer
45,sentence,Correct the mistake.,改正錯誤。,medium,School-常用3000單,correct;mistake
46,sentence,Check the score.,查看分數。,medium,School-常用3000單,score
47,sentence,Improve your grade.,改善你的成績。,medium,School-常用3000單,grade
48,sentence,Respect the rule.,尊重規則。,medium,School-常用3000單,rule
49,sentence,Follow the schedule.,遵守時間表。,medium,School-常用3000單,schedule
50,sentence,Choose a course.,選擇一門課。,medium,School-常用3000單,choose;course
51,sentence,Join the class.,加入班級。,medium,School-常用3000單,class
52,sentence,Stand near the board.,站在黑板旁。,medium,School-常用3000單,stand;board
53,sentence,Write on the board.,在黑板上寫字。,medium,School-常用3000單,write;board
54,sentence,Read the notice.,閱讀公告。,medium,School-常用3000單,notice
55,sentence,Check the list.,檢查清單。,medium,School-常用3000單,list
56,sentence,Open the file.,打開檔案。,medium,School-常用3000單,file
57,sentence,Save the document.,儲存文件。,medium,School-常用3000單,document
58,sentence,Print the worksheet.,列印學習單。,medium,School-常用3000單,worksheet
59,sentence,Share your idea.,分享你的想法。,medium,School-常用3000單,idea
60,sentence,Explain your reason.,說明你的理由。,medium,School-常用3000單,explain;reason
61,sentence,Support your opinion.,支持你的意見。,medium,School-常用3000單,support;opinion
62,sentence,Compare two answers.,比較兩個答案。,medium,School-常用3000單,compare;answer
63,sentence,Select the correct word.,選出正確單字。,medium,School-常用3000單,select;correct;word
64,sentence,Underline the phrase.,在片語下畫線。,medium,School-常用3000單,phrase
65,sentence,Circle the letter.,圈選字母。,medium,School-常用3000單,circle;letter
66,sentence,Spell the word.,拼出單字。,medium,School-常用3000單,spell;word
67,sentence,Review the vocabulary.,複習字彙。,medium,School-常用3000單,vocabulary
68,sentence,Learn the definition.,學習定義。,medium,School-常用3000單,definition
69,sentence,Remember the example.,記住例子。,medium,School-常用3000單,example
70,sentence,Make a sentence.,造一個句子。,medium,School-常用3000單,sentence
71,sentence,Take notes.,做筆記。,medium,School-常用3000單,notes
72,sentence,Open the notebook.,打開筆記本。,medium,School-常用3000單,notebook
73,sentence,Close the window.,關上窗戶。,medium,School-常用3000單,window
74,sentence,Turn on the light.,開燈。,medium,School-常用3000單,light
75,sentence,Look at the screen.,看著螢幕。,medium,School-常用3000單,screen
76,sentence,Use the computer.,使用電腦。,medium,School-常用3000單,computer
77,sentence,Start the project.,開始專題。,medium,School-常用3000單,project
78,sentence,Finish the project.,完成專題。,medium,School-常用3000單,project
79,sentence,Plan the presentation.,規劃簡報。,medium,School-常用3000單,plan;presentation
80,sentence,Practice the speech.,練習演說。,medium,School-常用3000單,speech
81,sentence,Give a presentation.,進行簡報。,medium,School-常用3000單,presentation
82,sentence,Join the discussion.,加入討論。,medium,School-常用3000單,discussion
83,sentence,Respect your classmates.,尊重你的同學。,medium,School-常用3000單,respect;classmates
84,sentence,Help your group.,幫助你的小組。,medium,School-常用3000單,group
85,sentence,Share the textbook.,分享課本。,medium,School-常用3000單,textbook
86,sentence,Review the grammar.,複習文法。,medium,School-常用3000單,grammar
87,sentence,Listen carefully.,仔細聽。,medium,School-常用3000單,listen
88,sentence,Write clearly.,清楚地寫。,medium,School-常用3000單,write
89,sentence,Read silently.,安靜地閱讀。,medium,School-常用3000單,read
90,sentence,Work together.,一起合作。,medium,School-常用3000單,work
91,sentence,Study every day.,每天讀書。,medium,School-常用3000單,study
92,sentence,Arrive on time.,準時到達。,medium,School-常用3000單,time
93,sentence,Do not interrupt.,不要打斷。,medium,School-常用3000單,interrupt
94,sentence,Wait your turn.,等你的輪次。,medium,School-常用3000單,turn
95,sentence,Raise your hand.,舉起你的手。,medium,School-常用3000單,hand
96,sentence,Ask the instructor.,詢問指導老師。,medium,School-常用3000單,instructor
97,sentence,Find the answer.,找出答案。,medium,School-常用3000單,answer
98,sentence,Complete the assignment.,完成作業。,medium,School-常用3000單,assignment
99,sentence,Review before examination.,考前複習。,medium,School-常用3000單,examination
100,sentence,Keep the classroom quiet.,保持教室安靜。,medium,School-常用3000單,classroom;quiet
101,sentence,"During English class, the teacher asked us to read the chapter.",在英文課中，老師要我們閱讀章節。,medium,School-常用3000單,teacher;English;read;chapter
102,sentence,"During mathematics class, the teacher asked us to organize the notebook.",在數學課中，老師要我們整理筆記本。,medium,School-常用3000單,teacher;mathematics;organize;notebook
103,sentence,"During science class, the teacher asked us to read the chapter.",在科學課中，老師要我們閱讀章節。,medium,School-常用3000單,teacher;science;read;chapter
104,sentence,"During history class, the teacher asked us to organize the notebook.",在歷史課中，老師要我們整理筆記本。,medium,School-常用3000單,teacher;history;organize;notebook
105,sentence,"During art class, the teacher asked us to read the chapter.",在藝術課中，老師要我們閱讀章節。,medium,School-常用3000單,teacher;art;read;chapter
106,sentence,"During music class, the teacher asked us to organize the notebook.",在音樂課中，老師要我們整理筆記本。,medium,School-常用3000單,teacher;music;organize;notebook
107,sentence,"During computer class, the teacher asked us to read the chapter.",在電腦課中，老師要我們閱讀章節。,medium,School-常用3000單,teacher;computer;read;chapter
108,sentence,"During grammar class, the teacher asked us to organize the notebook.",在文法課中，老師要我們整理筆記本。,medium,School-常用3000單,teacher;grammar;organize;notebook
109,sentence,"During reading class, the teacher asked us to read the chapter.",在閱讀課中，老師要我們閱讀章節。,medium,School-常用3000單,teacher;reading;read;chapter
110,sentence,"During writing class, the teacher asked us to organize the notebook.",在寫作課中，老師要我們整理筆記本。,medium,School-常用3000單,teacher;writing;organize;notebook
111,sentence,"After the lesson, each student used the calculator to answer the question.",課後，每位學生都用計算機回答問題。,medium,School-常用3000單,lesson;student;calculator;answer;question
112,sentence,"After the lesson, each student used the board to practice the dialogue.",課後，每位學生都用黑板練習對話。,medium,School-常用3000單,lesson;student;board;practice;dialogue
113,sentence,"After the lesson, each student used the pencil to answer the question.",課後，每位學生都用鉛筆回答問題。,medium,School-常用3000單,lesson;student;pencil;answer;question
114,sentence,"After the lesson, each student used the notebook to practice the dialogue.",課後，每位學生都用筆記本練習對話。,medium,School-常用3000單,lesson;student;notebook;practice;dialogue
115,sentence,"After the lesson, each student used the paper to answer the question.",課後，每位學生都用紙回答問題。,medium,School-常用3000單,lesson;student;paper;answer;question
116,sentence,"After the lesson, each student used the computer to practice the dialogue.",課後，每位學生都用電腦練習對話。,medium,School-常用3000單,lesson;student;computer;practice;dialogue
117,sentence,"After the lesson, each student used the textbook to answer the question.",課後，每位學生都用課本回答問題。,medium,School-常用3000單,lesson;student;textbook;answer;question
118,sentence,"After the lesson, each student used the dictionary to practice the dialogue.",課後，每位學生都用字典練習對話。,medium,School-常用3000單,lesson;student;dictionary;practice;dialogue
119,sentence,"After the lesson, each student used the screen to answer the question.",課後，每位學生都用螢幕回答問題。,medium,School-常用3000單,lesson;student;screen;answer;question
120,sentence,"After the lesson, each student used the worksheet to practice the dialogue.",課後，每位學生都用學習單練習對話。,medium,School-常用3000單,lesson;student;worksheet;practice;dialogue
121,sentence,"Before the quiz, our group had to correct the assignment carefully.",小考前，我們小組必須仔細訂正作業。,medium,School-常用3000單,quiz;group;correct;assignment
122,sentence,"Before the quiz, our group had to review the vocabulary carefully.",小考前，我們小組必須仔細複習字彙。,medium,School-常用3000單,quiz;group;review;vocabulary
123,sentence,"Before the quiz, our group had to correct the assignment carefully, today.",小考前，我們小組必須仔細訂正作業，今天。,medium,School-常用3000單,quiz;group;correct;assignment;today
124,sentence,"Before the quiz, our group had to review the vocabulary carefully, today.",小考前，我們小組必須仔細複習字彙，今天。,medium,School-常用3000單,quiz;group;review;vocabulary;today
125,sentence,"Before the quiz, our group had to correct the assignment carefully, after class.",小考前，我們小組必須仔細訂正作業，下課後。,medium,School-常用3000單,quiz;group;correct;assignment;after;class
126,sentence,"Before the quiz, our group had to review the vocabulary carefully, after class.",小考前，我們小組必須仔細複習字彙，下課後。,medium,School-常用3000單,quiz;group;review;vocabulary;after;class
127,sentence,"Before the quiz, our group had to correct the assignment carefully, in the classroom.",小考前，我們小組必須仔細訂正作業，在教室裡。,medium,School-常用3000單,quiz;group;correct;assignment;in;the;classroom
128,sentence,"Before the quiz, our group had to review the vocabulary carefully, in the classroom.",小考前，我們小組必須仔細複習字彙，在教室裡。,medium,School-常用3000單,quiz;group;review;vocabulary;in;the;classroom
129,sentence,"Before the quiz, our group had to correct the assignment carefully, with my group.",小考前，我們小組必須仔細訂正作業，和我的小組一起。,medium,School-常用3000單,quiz;group;correct;assignment;with;my;group
130,sentence,"Before the quiz, our group had to review the vocabulary carefully, with my group.",小考前，我們小組必須仔細複習字彙，和我的小組一起。,medium,School-常用3000單,quiz;group;review;vocabulary;with;my;group
131,sentence,The instructor gave clear instruction and told us to check the calculation.,指導老師給了清楚的指示，並要我們檢查計算。,medium,School-常用3000單,instructor;instruction;check;calculation
132,sentence,The instructor gave clear instruction and told us to prepare the report.,指導老師給了清楚的指示，並要我們準備報告。,medium,School-常用3000單,instructor;instruction;prepare;report
133,sentence,"The instructor gave clear instruction and told us to check the calculation, today.",指導老師給了清楚的指示，並要我們檢查計算，今天。,medium,School-常用3000單,instructor;instruction;check;calculation;today
134,sentence,"The instructor gave clear instruction and told us to prepare the report, today.",指導老師給了清楚的指示，並要我們準備報告，今天。,medium,School-常用3000單,instructor;instruction;prepare;report;today
135,sentence,"The instructor gave clear instruction and told us to check the calculation, after class.",指導老師給了清楚的指示，並要我們檢查計算，下課後。,medium,School-常用3000單,instructor;instruction;check;calculation;after;class
136,sentence,"The instructor gave clear instruction and told us to prepare the report, after class.",指導老師給了清楚的指示，並要我們準備報告，下課後。,medium,School-常用3000單,instructor;instruction;prepare;report;after;class
137,sentence,"The instructor gave clear instruction and told us to check the calculation, in the classroom.",指導老師給了清楚的指示，並要我們檢查計算，在教室裡。,medium,School-常用3000單,instructor;instruction;check;calculation;in;the;classroom
138,sentence,"The instructor gave clear instruction and told us to prepare the report, in the classroom.",指導老師給了清楚的指示，並要我們準備報告，在教室裡。,medium,School-常用3000單,instructor;instruction;prepare;report;in;the;classroom
139,sentence,"The instructor gave clear instruction and told us to check the calculation, with my group.",指導老師給了清楚的指示，並要我們檢查計算，和我的小組一起。,medium,School-常用3000單,instructor;instruction;check;calculation;with;my;group
140,sentence,"The instructor gave clear instruction and told us to prepare the report, with my group.",指導老師給了清楚的指示，並要我們準備報告，和我的小組一起。,medium,School-常用3000單,instructor;instruction;prepare;report;with;my;group
141,sentence,I went to the music room after class to discuss the article.,我下課後到音樂教室討論文章。,medium,School-常用3000單,music room;class;discuss;article
142,sentence,I went to the study room after class to explain the example.,我下課後到自習室說明例子。,medium,School-常用3000單,study room;class;explain;example
143,sentence,I went to the classroom after class to discuss the article.,我下課後到教室討論文章。,medium,School-常用3000單,classroom;class;discuss;article
144,sentence,I went to the art room after class to explain the example.,我下課後到美術教室說明例子。,medium,School-常用3000單,art room;class;explain;example
145,sentence,I went to the campus center after class to discuss the article.,我下課後到校園中心討論文章。,medium,School-常用3000單,campus center;class;discuss;article
146,sentence,I went to the reading corner after class to explain the example.,我下課後到閱讀角說明例子。,medium,School-常用3000單,reading corner;class;explain;example
147,sentence,I went to the computer room after class to discuss the article.,我下課後到電腦教室討論文章。,medium,School-常用3000單,computer room;class;discuss;article
148,sentence,I went to the science room after class to explain the example.,我下課後到科學教室說明例子。,medium,School-常用3000單,science room;class;explain;example
149,sentence,I went to the school hall after class to discuss the article.,我下課後到學校大廳討論文章。,medium,School-常用3000單,school hall;class;discuss;article
150,sentence,I went to the library after class to explain the example.,我下課後到圖書館說明例子。,medium,School-常用3000單,library;class;explain;example
151,sentence,The class used the pencil while studying the music lesson.,全班在學習音樂課時使用鉛筆。,medium,School-常用3000單,class;pencil;music;lesson
152,sentence,The class used the notebook while studying the computer lesson.,全班在學習電腦課時使用筆記本。,medium,School-常用3000單,class;notebook;computer;lesson
153,sentence,The class used the paper while studying the grammar lesson.,全班在學習文法課時使用紙。,medium,School-常用3000單,class;paper;grammar;lesson
154,sentence,The class used the computer while studying the reading lesson.,全班在學習閱讀課時使用電腦。,medium,School-常用3000單,class;computer;reading;lesson
155,sentence,The class used the textbook while studying the writing lesson.,全班在學習寫作課時使用課本。,medium,School-常用3000單,class;textbook;writing;lesson
156,sentence,The class used the dictionary while studying the English lesson.,全班在學習英文課時使用字典。,medium,School-常用3000單,class;dictionary;English;lesson
157,sentence,The class used the screen while studying the mathematics lesson.,全班在學習數學課時使用螢幕。,medium,School-常用3000單,class;screen;mathematics;lesson
158,sentence,The class used the worksheet while studying the science lesson.,全班在學習科學課時使用學習單。,medium,School-常用3000單,class;worksheet;science;lesson
159,sentence,The class used the calculator while studying the history lesson.,全班在學習歷史課時使用計算機。,medium,School-常用3000單,class;calculator;history;lesson
160,sentence,The class used the board while studying the art lesson.,全班在學習藝術課時使用黑板。,medium,School-常用3000單,class;board;art;lesson
161,sentence,My classmate helped me practice the dialogue during the lesson.,我的同學在課堂中幫我練習對話。,medium,School-常用3000單,classmate;lesson;practice;dialogue
162,sentence,My classmate helped me answer the question during the lesson.,我的同學在課堂中幫我回答問題。,medium,School-常用3000單,classmate;lesson;answer;question
163,sentence,"My classmate helped me practice the dialogue during the lesson, today.",我的同學在課堂中幫我練習對話，今天。,medium,School-常用3000單,classmate;lesson;practice;dialogue;today
164,sentence,"My classmate helped me answer the question during the lesson, today.",我的同學在課堂中幫我回答問題，今天。,medium,School-常用3000單,classmate;lesson;answer;question;today
165,sentence,"My classmate helped me practice the dialogue during the lesson, after class.",我的同學在課堂中幫我練習對話，下課後。,medium,School-常用3000單,classmate;lesson;practice;dialogue;after;class
166,sentence,"My classmate helped me answer the question during the lesson, after class.",我的同學在課堂中幫我回答問題，下課後。,medium,School-常用3000單,classmate;lesson;answer;question;after;class
167,sentence,"My classmate helped me practice the dialogue during the lesson, in the classroom.",我的同學在課堂中幫我練習對話，在教室裡。,medium,School-常用3000單,classmate;lesson;practice;dialogue;in;the;classroom
168,sentence,"My classmate helped me answer the question during the lesson, in the classroom.",我的同學在課堂中幫我回答問題，在教室裡。,medium,School-常用3000單,classmate;lesson;answer;question;in;the;classroom
169,sentence,"My classmate helped me practice the dialogue during the lesson, with my group.",我的同學在課堂中幫我練習對話，和我的小組一起。,medium,School-常用3000單,classmate;lesson;practice;dialogue;with;my;group
170,sentence,"My classmate helped me answer the question during the lesson, with my group.",我的同學在課堂中幫我回答問題，和我的小組一起。,medium,School-常用3000單,classmate;lesson;answer;question;with;my;group
171,sentence,The teacher checked our work after we learned to review the vocabulary.,我們學習複習字彙後，老師檢查我們的作品。,medium,School-常用3000單,teacher;work;learn;review;vocabulary
172,sentence,The teacher checked our work after we learned to correct the assignment.,我們學習訂正作業後，老師檢查我們的作品。,medium,School-常用3000單,teacher;work;learn;correct;assignment
173,sentence,"The teacher checked our work after we learned to review the vocabulary, today.",我們學習複習字彙後，老師檢查我們的作品，今天。,medium,School-常用3000單,teacher;work;learn;review;vocabulary;today
174,sentence,"The teacher checked our work after we learned to correct the assignment, today.",我們學習訂正作業後，老師檢查我們的作品，今天。,medium,School-常用3000單,teacher;work;learn;correct;assignment;today
175,sentence,"The teacher checked our work after we learned to review the vocabulary, after class.",我們學習複習字彙後，老師檢查我們的作品，下課後。,medium,School-常用3000單,teacher;work;learn;review;vocabulary;after;class
176,sentence,"The teacher checked our work after we learned to correct the assignment, after class.",我們學習訂正作業後，老師檢查我們的作品，下課後。,medium,School-常用3000單,teacher;work;learn;correct;assignment;after;class
177,sentence,"The teacher checked our work after we learned to review the vocabulary, in the classroom.",我們學習複習字彙後，老師檢查我們的作品，在教室裡。,medium,School-常用3000單,teacher;work;learn;review;vocabulary;in;the;classroom
178,sentence,"The teacher checked our work after we learned to correct the assignment, in the classroom.",我們學習訂正作業後，老師檢查我們的作品，在教室裡。,medium,School-常用3000單,teacher;work;learn;correct;assignment;in;the;classroom
179,sentence,"The teacher checked our work after we learned to review the vocabulary, with my group.",我們學習複習字彙後，老師檢查我們的作品，和我的小組一起。,medium,School-常用3000單,teacher;work;learn;review;vocabulary;with;my;group
180,sentence,"The teacher checked our work after we learned to correct the assignment, with my group.",我們學習訂正作業後，老師檢查我們的作品，和我的小組一起。,medium,School-常用3000單,teacher;work;learn;correct;assignment;with;my;group
181,sentence,Every student wrote one answer before the class ended.,每位學生都在下課前寫下一個答案。,medium,School-常用3000單,student;answer;class
182,sentence,"Every student wrote one answer before the class ended, today.",每位學生都在下課前寫下一個答案，今天。,medium,School-常用3000單,student;answer;class;today
183,sentence,"Every student wrote one answer before the class ended, after class.",每位學生都在下課前寫下一個答案，下課後。,medium,School-常用3000單,student;answer;class;after;class
184,sentence,"Every student wrote one answer before the class ended, in the classroom.",每位學生都在下課前寫下一個答案，在教室裡。,medium,School-常用3000單,student;answer;class;in;the;classroom
185,sentence,"Every student wrote one answer before the class ended, with my group.",每位學生都在下課前寫下一個答案，和我的小組一起。,medium,School-常用3000單,student;answer;class;with;my;group
186,sentence,"Every student wrote one answer before the class ended, before lunch.",每位學生都在下課前寫下一個答案，午餐前。,medium,School-常用3000單,student;answer;class;before;lunch
187,sentence,"Every student wrote one answer before the class ended, during the lesson.",每位學生都在下課前寫下一個答案，課堂中。,medium,School-常用3000單,student;answer;class;during;the;lesson
188,sentence,"Every student wrote one answer before the class ended, after the discussion.",每位學生都在下課前寫下一個答案，討論後。,medium,School-常用3000單,student;answer;class;after;the;discussion
189,sentence,"Every student wrote one answer before the class ended, before the quiz.",每位學生都在下課前寫下一個答案，小考前。,medium,School-常用3000單,student;answer;class;before;the;quiz
190,sentence,"Every student wrote one answer before the class ended, in the library.",每位學生都在下課前寫下一個答案，在圖書館。,medium,School-常用3000單,student;answer;class;in;the;library
191,sentence,Our group shared one idea after we learned to explain the example.,我們學習說明例子後，小組分享了一個想法。,medium,School-常用3000單,group;idea;learn;explain;example
192,sentence,Our group shared one idea after we learned to discuss the article.,我們學習討論文章後，小組分享了一個想法。,medium,School-常用3000單,group;idea;learn;discuss;article
193,sentence,"Our group shared one idea after we learned to explain the example, today.",我們學習說明例子後，小組分享了一個想法，今天。,medium,School-常用3000單,group;idea;learn;explain;example;today
194,sentence,"Our group shared one idea after we learned to discuss the article, today.",我們學習討論文章後，小組分享了一個想法，今天。,medium,School-常用3000單,group;idea;learn;discuss;article;today
